Question	Réponse	Tags
Quelle est la différence entre une panne (fault) et une défaillance (failure) ?	Une **panne** (*fault*) est un composant qui s'écarte de sa spécification. Une **défaillance** (*failure*) est le moment où le système entier cesse de rendre le service attendu à l'utilisateur. Un système *tolérant aux pannes* empêche les pannes de provoquer des défaillances.	ch01::fiabilité
Quels sont les 3 types de pannes selon DDIA ? Lequel est le plus fréquent en production ?	**(1) Pannes matérielles** : disque, RAM, réseau — aléatoires, indépendantes. **(2) Pannes logicielles** : bugs systématiques (affectent toutes les instances simultanément). **(3) Erreurs humaines** : mauvaise configuration — principale cause de downtime en production (>70 %).	ch01::fiabilité
Qu'est-ce que le *chaos engineering* ? Pourquoi le fait-on délibérément ?	Injecter des pannes volontaires en production (arrêt aléatoire d'instances, coupures réseau) pour vérifier que les mécanismes de tolérance fonctionnent *en pratique*. Ex : Netflix Chaos Monkey. Mieux vaut découvrir les failles lors d'un test contrôlé que lors d'un incident réel.	ch01::fiabilité
Quelle est la différence entre *latence* et *temps de réponse* ?	Le **temps de réponse** est ce que le client mesure : traitement + réseau + file d'attente. La **latence** est le temps qu'une requête passe à *attendre* d'être traitée (sans compter le traitement actif). Dans la pratique les deux termes sont souvent confondus.	ch01::scalabilité::vocabulaire
Pourquoi utilise-t-on les percentiles (p50, p95, p99) plutôt que la moyenne pour mesurer la latence ?	La **moyenne** masque les queues lourdes. Ex : 95 % des requêtes < 100 ms mais 5 % > 5 s → moyenne raisonnable en apparence. Les **percentiles** révèlent l'expérience des utilisateurs les plus lents — souvent ceux avec le plus de données, donc les plus importants.	ch01::scalabilité::percentiles
Qu'est-ce que la *tail latency amplification* ?	Dans un système distribué, une opération qui appelle N services en parallèle sera aussi lente que son maillon le plus lent. Même si le p99 d'un service est rare, avec 100 appels parallèles la probabilité d'avoir *au moins* un appel p99 devient quasi-certaine.	ch01::scalabilité::percentiles
Qu'appelle-t-on un *paramètre de charge* (*load parameter*) ? Donne 2 exemples.	Métrique choisie pour décrire la charge du système. Ex : **(1)** nombre de requêtes/seconde pour une API. **(2)** nombre moyen d'abonnés par utilisateur (fan-out) pour un réseau social. **(3)** ratio lectures/écritures pour un cache.	ch01::scalabilité
Quel est le compromis principal entre *scale-up* (vertical) et *scale-out* (horizontal) ?	**Scale-up** : machine plus puissante — simple mais coûteux, limité physiquement, SPOF. **Scale-out** : plusieurs machines — plus résilient, quasi illimité, mais complexité de distribution et cohérence à gérer.	ch01::scalabilité
Quels sont les 3 aspects de la *maintenabilité* selon DDIA ?	**(1) Opérabilité** : facilité de faire tourner le système en production (monitoring, déploiement). **(2) Simplicité** : éviter la complexité accidentelle (bonnes abstractions). **(3) Évolvabilité** : facilité de modifier le système dans le futur (agility).	ch01::maintenabilité
Qu'est-ce que la *complexité accidentelle* vs *complexité essentielle* ?	La **complexité essentielle** est inhérente au problème lui-même. La **complexité accidentelle** est introduite par l'implémentation (dépendances enchevêtrées, état caché, abstractions qui fuient). Les bonnes abstractions réduisent la complexité accidentelle.	ch01::maintenabilité
Qu'est-ce qu'un *SLO* et un *SLA* ?	**SLO** (*Service Level Objective*) : objectif interne de performance — ex. p99 < 200 ms. **SLA** (*Service Level Agreement*) : contrat avec le client qui définit les pénalités si les SLO ne sont pas tenus.	ch01::fiabilité::vocabulaire
Qu'est-ce que le *head-of-line blocking* ? Lien avec les percentiles ?	Une requête lente bloque un thread/connexion et ralentit toutes les requêtes suivantes en file. Résultat : même 1 % de requêtes lentes (p99) peuvent dégrader 100 % des utilisateurs simultanés.	ch01::scalabilité::percentiles
Définissez la *fiabilité* (*reliability*) selon DDIA en une phrase.	Un système est fiable s'il continue à fonctionner correctement au niveau de performance attendu, même en présence de pannes matérielles, bugs logiciels ou erreurs humaines.	ch01::fiabilité
Définissez la *scalabilité* (*scalability*) selon DDIA. Pourquoi n'est-ce pas une propriété binaire ?	Capacité du système à maintenir ses SLO lorsque la charge augmente. Non binaire car il faut préciser *quelle charge* (paramètre) et *quelle métrique* (p99, throughput) — un système peut scaler pour un type de charge et pas pour un autre.	ch01::scalabilité
Pourquoi les pannes logicielles sont-elles plus insidieuses que les pannes matérielles ?	Les pannes matérielles sont aléatoires et indépendantes. Les pannes logicielles sont **systématiques** : un bug peut affecter toutes les instances simultanément (ex. OOM déclenchée par une entrée particulière). Elles sont souvent dormantes pendant des mois.	ch01::fiabilité
Qu'est-ce que le *fan-out* dans le contexte du fil d'actualité Twitter ?	Le nombre de timelines dans lesquelles un tweet doit être écrit. Un utilisateur avec 30M d'abonnés a un fan-out de 30M → problème majeur de scalabilité des écritures.	ch01::scalabilité::exemple
Quelle est la différence entre *throughput* et *latence* ? Quand optimise-t-on chacun ?	**Throughput** : nb d'opérations par unité de temps (req/s, MB/s). **Latence** : temps de traitement d'une opération individuelle. OLTP → optimiser latence. Batch (Spark, Hadoop) → optimiser throughput.	ch01::scalabilité::vocabulaire
Pourquoi le *rolling upgrade* impose-t-il des contraintes de compatibilité (lien Ch.4) ?	Un rolling upgrade déploie progressivement une nouvelle version sur une fraction des nœuds à la fois. Pendant la transition, l'ancienne et la nouvelle version coexistent et communiquent → le protocole/schéma doit être compatible dans les deux sens.	ch01::maintenabilité::evolvabilite
Qu'est-ce que le *MTTF* et le *MTTR* ? Comment calcule-t-on la disponibilité ?	**MTTF** (*Mean Time To Failure*) : durée moyenne de bon fonctionnement avant panne. **MTTR** (*Mean Time To Recovery*) : durée moyenne pour récupérer après panne. Disponibilité = MTTF / (MTTF + MTTR).	ch01::fiabilité
Qu'est-ce que l'*impédance mismatch* (inadéquation d'impédance) entre la POO et le modèle relationnel ?	Les données applicatives sont souvent modélisées en objets avec des relations imbriquées (liste d'adresses dans un utilisateur). Le modèle relationnel les stocke en tables plates avec des jointures. Cette traduction objet↔table est le *impedance mismatch*, source de complexité (ORMs).	ch02::modeles-donnees
Quels sont les avantages du modèle document (JSON) pour les données à structure one-to-many ?	**(1)** Localité : tout le document est chargé en une lecture. **(2)** Schéma flexible : chaque document peut avoir une structure différente. **(3)** Correspond naturellement à la structure objet. **Inconvénient** : jointures difficiles, duplication de données.	ch02::modeles-donnees
Quelle est la différence entre un langage de requête *déclaratif* et *impératif* ? Exemple.	**Déclaratif** (SQL) : tu décris *quoi* obtenir, le moteur décide *comment*. Permet l'optimisation automatique et le parallélisme. **Impératif** (code) : tu décris *comment* obtenir le résultat, étape par étape. Exemple déclaratif : `SELECT * FROM animaux WHERE type='shark'`. Impératif : boucle for + if.	ch02::modeles-donnees::langages-requete
Dans quel cas choisir un modèle graphe plutôt que relationnel ou document ?	Quand les données ont de nombreuses relations **many-to-many** et que l'on doit effectuer des *traversées* (ex. « amis d'amis », détection de fraude, systèmes de recommandation). Le modèle graphe est naturellement optimisé pour suivre les arêtes.	ch02::modeles-donnees
Qu'est-ce qu'un *SSTable* (*Sorted String Table*) ?	Fichier de données **immuable** où les clés sont **triées**. Fait partie du LSM-tree. Avantage : fusion efficace de deux SSTables (comme le merge de tri-fusion). Les recherches utilisent un index creux + filtre de Bloom pour éviter les lectures inutiles.	ch03::storage
Quelle est la différence fondamentale entre un *LSM-tree* et un *B-tree* en termes d'amplification ?	**LSM-tree** : optimisé pour les *écritures* (séquentielles). Amplification lecture (plusieurs SSTables à fusionner). **B-tree** : optimisé pour les *lectures* (une seule traversée d'arbre). Amplification écriture (mise à jour en place + WAL + possible split de page). Règle d'or : LSM pour write-heavy, B-tree pour read-heavy/range scans.	ch03::storage
